################################################################
# abuse.ch SSLBL Botnet C2 IP Blacklist (CSV)                  #
# Last updated: 2023-03-29 08:59:36 UTC                        #
#                                                              #
# Terms Of Use: https://sslbl.abuse.ch/blacklist/              #
# For questions please contact sslbl [at] abuse.ch             #
################################################################
#
# Firstseen,DstIP,DstPort
2023-03-29 08:59:36,91.213.50.8,443
2023-03-29 08:47:23,45.12.253.77,8889
2023-03-29 05:34:23,3.69.115.178,15409
2023-03-28 14:25:15,31.42.188.159,4000
2023-03-27 22:14:19,181.141.1.67,4243
2023-03-27 13:16:50,144.126.133.48,4782
2023-03-27 10:26:22,62.210.11.126,9024
2023-03-26 15:19:35,43.139.124.22,6666
2023-03-26 13:50:23,5.188.86.237,6606
2023-03-25 14:11:54,139.180.143.50,11334
2023-03-24 21:38:30,146.70.128.174,55178
2023-03-24 12:41:10,160.178.206.45,65
2023-03-23 19:29:45,154.53.51.201,9901
2023-03-23 11:44:36,45.155.158.187,1337
2023-03-22 18:45:45,8.130.34.250,8848
2023-03-18 06:46:44,149.202.88.107,8080
2023-03-17 04:13:51,216.250.106.236,8881
2023-03-17 00:02:43,40.113.131.31,6666
2023-03-14 18:19:14,154.39.252.24,8848
2023-03-13 12:48:49,141.95.84.40,4040
2023-03-12 15:13:19,38.47.205.151,8848
2023-03-11 18:16:25,157.90.51.195,6980
2023-03-11 17:03:16,103.117.72.103,8848
2023-03-11 04:00:25,147.185.221.180,64654
2023-03-10 22:11:11,104.238.147.18,8808
2023-03-09 21:21:25,172.104.148.228,6606
2023-03-09 09:23:20,154.23.133.89,8848
2023-03-08 14:17:01,45.9.16.242,5200
2023-03-08 01:57:14,47.87.239.56,312
2023-03-07 22:30:54,185.246.220.122,1488
2023-03-07 17:06:27,209.25.142.180,10569
2023-03-07 16:59:04,172.94.111.4,2008
2023-03-07 11:21:38,206.123.132.68,2020
2023-03-06 21:40:16,45.81.39.83,3456
2023-03-06 12:23:11,194.59.218.147,8808
2023-03-06 12:13:35,103.213.111.207,6606
2023-03-05 06:03:25,171.247.70.48,88
2023-03-04 20:46:20,185.81.157.28,2030
2023-03-03 22:52:35,95.168.191.181,443
2023-03-03 19:15:40,154.91.228.23,8848
2023-03-03 16:45:49,84.21.172.55,1339
2023-03-01 07:41:44,194.5.98.6,20
2023-02-26 00:59:00,209.25.141.180,10569
2023-02-22 19:36:23,23.254.253.134,443
2023-01-28 15:49:36,192.3.193.136,2023
# END (45) entries
